Participant,Trial,Mean_SSD_Diff,Driver_Direction,Alert_Combination,Pedestrian_Crossing
Adity,6,-2.17208905035804,Straight (left lane),No alert,To driver’s right
Mayurah,1,-11.360498215481085,Left,Sign 2 + crosswalk,Straight ahead
Carl,6,-13.71583991543435,Straight (left lane),No alert,To driver’s right
Jenn,5,-1.881076582629558,Left,Sign 3,To driver’s left
Jason,7,2.5218688949488755,Left,Sign 3 + crosswalk,To driver’s left
Jenn,7,1.3429487065500683,Left,Sign 3 + crosswalk,To driver’s left
Jason,5,2.336326266299911,Left,Sign 3,To driver’s left
Carl,4,-7.6932069641417975,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Kapi,9,-7.701733118639658,Straight (right lane),Sign 3,Straight ahead
Adity,4,3.4795873935423685,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Adity,5,4.412369123939338,Left,Sign 3,To driver’s left
Kapi,8,-1.616040117297592,Left,Sign 3 + crosswalk,Straight ahead
Carl,5,4.555941257905672,Left,Sign 3,To driver’s left
Carl,15,4.683626698371434,Straight (left lane),Sign 2,Straight ahead
Jason,4,0.144214719809631,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Jenn,6,-16.696733130872413,Straight (left lane),No alert,To driver’s right
Madhav,12,0.35666730095730836,Right,Sign 3,To driver’s right
Eric,11,-4.493057244417808,Left,Sign 2,To driver’s right
Ionel,7,7.344447367182458,Left,Sign 3 + crosswalk,To driver’s left
Calvin,12,15.484555987624635,Right,Sign 3,To driver’s right
Jenn,11,-13.768852980998604,Left,Sign 2,To driver’s right
Azaan,5,-4.330736498245766,Left,Sign 3,To driver’s left
Ionel,6,3.688596574580333,Straight (left lane),No alert,To driver’s right
Kapi,16,-0.786848579221902,Left,No alert,To driver's left
Pete,1,-5.624391048856785,Left,Sign 2 + crosswalk,Straight ahead
Madhav,13,0.3350949446069967,Left,Crosswalk,To driver’s left
Madhav,11,-0.6501501541715462,Left,Sign 2,To driver’s right
Eric,12,12.265684404528571,Right,Sign 3,To driver’s right
Ionel,4,3.516775701876548,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Azaan,7,-5.393058303501544,Left,Sign 3 + crosswalk,To driver’s left
Calvin,11,-2.678535266644897,Left,Sign 2,To driver’s right
Jenn,12,11.921754526074626,Right,Sign 3,To driver’s right
Jenn,13,2.4667343497456495,Left,Crosswalk,To driver’s left
Azaan,6,-22.966955794873382,Straight (left lane),No alert,To driver’s right
Kapi,15,4.168775364650604,Straight (left lane),Sign 2,Straight ahead
Ionel,5,6.242465446692629,Left,Sign 3,To driver’s left
Eric,13,-7.997138597390282,Left,Crosswalk,To driver’s left
Pete,6,4.363369016901981,Straight (left lane),No alert,To driver’s right
Ionel,1,6.496863609539875,Left,Sign 2 + crosswalk,Straight ahead
Kapi,11,-4.312495878179267,Left,Sign 2,To driver’s right
Jenn,16,-0.6377758779506633,Left,No alert,To driver's left
Calvin,15,8.960944664239664,Straight (left lane),Sign 2,Straight ahead
Pete,7,4.94860640519138,Left,Sign 3 + crosswalk,To driver’s left
Madhav,15,3.9675845514590766,Straight (left lane),Sign 2,Straight ahead
Jason,11,-4.840472946356583,Left,Sign 2,To driver’s right
Pete,5,4.163962058929961,Left,Sign 3,To driver’s left
Kapi,12,-0.3742201439222382,Right,Sign 3,To driver’s right
Azaan,1,-18.027832427170306,Left,Sign 2 + crosswalk,Straight ahead
Jenn,15,-1.7743554467501685,Straight (left lane),Sign 2,Straight ahead
Kapi,13,-0.5136501286887788,Left,Crosswalk,To driver’s left
Pete,4,13.874006488982417,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Eric,15,-4.578014655963511,Straight (left lane),Sign 2,Straight ahead
