Participant,Trial,Avg_Velocity,Driver_Direction,Alert_Combination,Pedestrian_Crossing
Jenn,4,31.56154869392479,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Carl,7,23.015649944277463,Left,Sign 3 + crosswalk,To driver’s left
Mayurah,15,21.40550946754204,Straight (left lane),Sign 2,Straight ahead
Adity,7,17.845895666032447,Left,Sign 3 + crosswalk,To driver’s left
Adity,6,25.40004082262871,Straight (left lane),No alert,To driver’s right
Mayurah,1,34.989844408082845,Left,Sign 2 + crosswalk,Straight ahead
Carl,6,29.130126144346885,Straight (left lane),No alert,To driver’s right
Jenn,5,22.583231787598525,Left,Sign 3,To driver’s left
Jason,7,18.721931147948922,Left,Sign 3 + crosswalk,To driver’s left
Jenn,7,19.95877921572083,Left,Sign 3 + crosswalk,To driver’s left
Jason,5,20.842531665909426,Left,Sign 3,To driver’s left
Carl,4,24.534637375437963,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Kapi,9,27.34197666008368,Straight (right lane),Sign 3,Straight ahead
Adity,4,18.43952481878683,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Adity,5,18.406453098568477,Left,Sign 3,To driver’s left
Kapi,8,21.784135021915155,Left,Sign 3 + crosswalk,Straight ahead
Carl,5,19.21225104454995,Left,Sign 3,To driver’s left
Carl,15,19.7714181416069,Straight (left lane),Sign 2,Straight ahead
Jason,4,22.713503083986815,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Jenn,6,30.78044998977881,Straight (left lane),No alert,To driver’s right
Eric,11,29.640705636647397,Left,Sign 2,To driver’s right
Ionel,7,13.416314938811679,Left,Sign 3 + crosswalk,To driver’s left
Jenn,11,32.88700231869984,Left,Sign 2,To driver’s right
Azaan,5,25.122866372360633,Left,Sign 3,To driver’s left
Ionel,6,15.392541449678903,Straight (left lane),No alert,To driver’s right
Kapi,16,22.84223994348553,Left,No alert,To driver's left
Pete,1,31.076364259949422,Left,Sign 2 + crosswalk,Straight ahead
Madhav,13,20.83299594167025,Left,Crosswalk,To driver’s left
Madhav,11,24.981038572191803,Left,Sign 2,To driver’s right
Ionel,4,15.719485908201364,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Azaan,7,25.8018124251083,Left,Sign 3 + crosswalk,To driver’s left
Calvin,11,22.222231804183625,Left,Sign 2,To driver’s right
Jenn,13,17.546066288750946,Left,Crosswalk,To driver’s left
Azaan,6,37.13990222542754,Straight (left lane),No alert,To driver’s right
Kapi,15,18.03224877213225,Straight (left lane),Sign 2,Straight ahead
Ionel,5,17.377487678197966,Left,Sign 3,To driver’s left
Pete,2,28.967555080767067,Straight (left lane),Crosswalk,To driver’s left
Eric,13,25.12458729255306,Left,Crosswalk,To driver’s left
